City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,geraldton,-28.7667,114.6,18.23,55,0,5.66,AU,1670362975
1,mar del plata,-38.0023,-57.5575,22.68,78,20,7.72,AR,1670362771
2,bluff,-46.6,168.3333,13.22,55,1,7.19,NZ,1670362976
3,punta arenas,-53.15,-70.9167,10.06,40,40,13.38,CL,1670362517
4,vaini,-21.2,-175.2,28.09,83,75,3.6,TO,1670362977
5,santa cruz,-17.8,-63.1667,33.03,52,40,5.66,BO,1670362977
6,meulaboh,4.1363,96.1285,23.6,94,100,3.59,ID,1670362977
7,det udom,14.906,105.0784,19.9,85,52,2.13,TH,1670362978
8,beira,-19.8436,34.8389,26.57,84,4,4.91,MZ,1670362978
9,ushuaia,-54.8,-68.3,7.81,42,40,10.29,AR,1670362979
10,lagoa,39.05,-27.9833,14.73,78,100,15.45,PT,1670362979
11,hobart,-42.8794,147.3294,12.37,72,20,5.14,AU,1670362979
12,aklavik,68.2191,-135.0107,-22.0,64,75,5.66,CA,1670362980
13,longyearbyen,78.2186,15.6401,-14.09,61,0,5.14,SJ,1670362980
14,faanui,-16.4833,-151.75,26.65,75,33,7.52,PF,1670362980
15,povenets,62.8487,34.8262,-5.42,95,100,4.33,RU,1670362981
16,butaritari,3.0707,172.7902,27.01,81,79,5.65,KI,1670362981
17,jasper,37.2001,-94.3502,10.13,93,100,2.06,US,1670362982
18,hilo,19.7297,-155.09,25.71,94,100,0.0,US,1670362982
19,suzhou,31.3114,120.6181,6.94,69,73,1.99,CN,1670362784
20,new norfolk,-42.7826,147.0587,12.18,51,74,1.02,AU,1670362983
21,salalah,17.0151,54.0924,25.05,73,20,2.06,OM,1670362983
22,ende,-8.8432,121.6623,25.1,76,66,1.3,ID,1670362984
23,victor harbor,-35.5667,138.6167,15.56,69,29,1.34,AU,1670362984
24,asau,46.4333,26.4,1.51,95,81,2.12,RO,1670362984
25,arman,59.7,150.1667,-21.07,86,95,4.55,RU,1670362985
26,fortuna,40.5982,-124.1573,11.51,68,0,2.06,US,1670362985
27,imeni babushkina,59.7573,43.1285,-6.35,68,100,4.97,RU,1670362986
28,tagusao,9.1924,117.8141,25.52,85,47,2.56,PH,1670362986
29,talnakh,69.4865,88.3972,-5.44,96,100,7.25,RU,1670362986
30,albany,42.6001,-73.9662,11.33,90,100,4.47,US,1670362758
31,mataura,-46.1927,168.8643,13.04,47,1,3.83,NZ,1670362987
32,torbay,47.6666,-52.7314,2.09,97,100,6.17,CA,1670362987
33,ilobu,7.8333,4.4833,22.88,61,90,1.23,NG,1670362988
34,prince george,53.9166,-122.753,-9.28,84,100,1.54,CA,1670362785
35,hermanus,-34.4187,19.2345,12.11,64,17,0.37,ZA,1670362988
36,yellowknife,62.456,-114.3525,-31.36,75,20,2.06,CA,1670362989
37,nha trang,12.25,109.1833,23.0,92,100,3.76,VN,1670362989
38,mungwi,-10.1732,31.3694,16.84,84,100,0.43,ZM,1670362990
39,niamey,13.5137,2.1098,28.16,16,84,1.54,NE,1670362990
40,biltine,14.5333,20.9167,20.25,19,0,7.26,TD,1670362990
41,port alfred,-33.5906,26.891,17.32,89,0,7.66,ZA,1670362991
42,qaanaaq,77.484,-69.3632,-0.75,72,100,4.42,GL,1670362991
43,busselton,-33.65,115.3333,12.38,78,11,6.23,AU,1670362992
44,upernavik,72.7868,-56.1549,-0.24,95,100,11.25,GL,1670362992
45,cartagena,10.3997,-75.5144,29.79,62,20,3.6,CO,1670362975
46,cherskiy,68.75,161.3,-27.22,97,100,3.77,RU,1670362993
47,yar-sale,66.8333,70.8333,-18.99,97,16,3.32,RU,1670362993
48,maragua,-0.7833,37.1333,15.35,97,100,1.26,KE,1670362994
49,terrace,54.5163,-128.6035,-5.05,73,100,1.03,CA,1670362994
50,vaitape,-16.5167,-151.75,26.64,75,32,7.49,PF,1670362995
51,inuvik,68.3499,-133.7218,-24.52,58,75,3.6,CA,1670362710
52,moses lake,47.1301,-119.2781,-2.62,100,100,2.06,US,1670362900
53,barrow,71.2906,-156.7887,-6.99,93,100,10.29,US,1670362995
54,bethel,41.3712,-73.414,12.51,83,100,1.54,US,1670362996
55,hualmay,-11.0964,-77.6139,21.28,74,18,4.46,PE,1670362996
56,dunedin,-45.8742,170.5036,9.33,66,59,0.89,NZ,1670362981
57,esperance,-33.8667,121.9,14.82,68,90,6.05,AU,1670362997
58,castro,-24.7911,-50.0119,18.99,96,24,1.89,BR,1670362997
59,kaduy,59.2,37.15,-5.19,75,100,4.91,RU,1670362997
60,tiksi,71.6872,128.8694,-33.27,100,98,1.9,RU,1670362998
61,portland,45.5234,-122.6762,7.12,86,100,0.89,US,1670362835
62,khatanga,71.9667,102.5,-19.63,97,100,5.28,RU,1670362998
63,campagna,40.6653,15.1059,11.16,80,90,1.15,IT,1670362999
64,lorengau,-2.0226,147.2712,27.36,80,97,3.61,PG,1670362999
65,ilulissat,69.2167,-51.1,0.01,93,75,3.09,GL,1670363000
66,pitimbu,-7.4706,-34.8086,27.33,76,29,4.25,BR,1670363000
67,saldanha,-33.0117,17.9442,14.03,83,26,3.64,ZA,1670363000
68,abalak,58.1286,68.5944,-20.57,99,73,1.84,RU,1670363001
69,tasiilaq,65.6145,-37.6368,-1.91,60,13,5.14,GL,1670363001
70,khorixas,-20.3667,14.9667,15.6,43,0,1.69,NA,1670363002
71,tysmenytsya,48.9022,24.8448,1.2,99,100,2.29,UA,1670363002
72,fenyi,27.8112,114.6681,5.64,94,64,0.61,CN,1670363003
73,beringovskiy,63.05,179.3167,-12.02,80,100,4.27,RU,1670363003
74,rakocziujfalu,47.0667,20.2667,2.18,92,0,2.06,HU,1670363003
75,illela,13.7292,5.2975,24.0,17,87,4.49,NG,1670363004
76,carinhanha,-14.3047,-43.765,23.95,72,99,0.73,BR,1670363004
77,hermosillo,29.0667,-110.9667,27.38,35,20,2.57,MX,1670362709
78,comodoro rivadavia,-45.8667,-67.5,22.92,17,20,10.29,AR,1670362969
79,pocsaj,47.2833,21.8167,2.45,93,21,3.65,HU,1670363005
80,east london,-33.0153,27.9116,17.78,85,40,3.35,ZA,1670363005
81,upata,8.0086,-62.3989,26.22,88,95,2.03,VE,1670363005
82,kokkola,63.8385,23.1307,-0.6,95,40,3.6,FI,1670363006
83,jamestown,42.097,-79.2353,7.77,64,100,2.06,US,1670363007
84,airai,-8.9266,125.4092,16.25,63,60,0.41,TL,1670363007
85,tessalit,20.1986,1.0114,25.23,15,98,4.67,ML,1670363007
86,nikolskoye,59.7035,30.7861,-5.05,93,100,4.05,RU,1670363008
87,sainte-maxime,43.3,6.6333,8.01,58,25,1.88,FR,1670363008
88,kupang,-10.1667,123.5833,23.32,100,20,1.03,ID,1670363008
89,san patricio,28.017,-97.5169,27.31,66,53,7.2,US,1670363009
90,tromso,69.6496,18.957,-1.99,74,0,1.03,NO,1670362893
91,georgetown,5.4112,100.3354,24.99,95,20,1.54,MY,1670362991
92,bardiyah,31.7561,25.0865,16.57,64,37,4.8,LY,1670363010
93,sebina,-20.8667,27.25,20.57,70,100,3.2,BW,1670363010
94,kununurra,-15.7667,128.7333,26.99,94,75,0.0,AU,1670363011
95,birjand,32.8663,59.2211,8.26,53,100,0.0,IR,1670363011
96,port lincoln,-34.7333,135.8667,14.54,66,90,7.85,AU,1670363011
97,atuona,-9.8,-139.0333,25.21,77,79,6.72,PF,1670363012
98,nisia floresta,-6.0911,-35.2086,27.45,79,17,4.03,BR,1670363012
99,muisne,0.6,-80.0333,24.74,77,32,4.16,EC,1670363012
100,srednekolymsk,67.45,153.6833,-31.73,98,100,5.83,RU,1670363013
101,cape town,-33.9258,18.4232,17.29,62,0,2.57,ZA,1670363013
102,zlitan,32.4674,14.5687,19.01,43,81,4.32,LY,1670363014
103,jeremie,18.65,-74.1167,25.96,65,20,5.54,HT,1670363014
104,lebu,-37.6167,-73.65,18.12,69,4,2.9,CL,1670363014
105,rikitea,-23.1203,-134.9692,24.1,77,9,7.29,PF,1670363015
106,magnolia,33.2671,-93.2393,23.82,78,100,4.02,US,1670363015
107,saskylakh,71.9167,114.0833,-21.86,97,100,6.12,RU,1670363016
108,dikson,73.5069,80.5464,-15.17,98,83,4.11,RU,1670363016
109,ellsworth,44.5434,-68.4195,8.05,86,20,2.06,US,1670363016
110,turukhansk,65.8167,87.9833,-14.73,93,100,4.72,RU,1670363017
111,carupano,10.6678,-63.2585,24.15,73,48,1.68,VE,1670363017
112,harper,4.375,-7.7169,25.8,84,71,3.14,LR,1670363018
113,bredasdorp,-34.5322,20.0403,15.45,69,24,0.27,ZA,1670363018
114,saint-augustin,51.226,-58.6502,-4.48,91,100,2.09,CA,1670363019
115,gazalkent,41.5581,69.7708,-2.14,90,100,0.87,UZ,1670363019
116,sola,-13.8833,167.55,28.11,73,29,5.33,VU,1670363019
117,ilfracombe,51.2093,-4.1134,5.36,76,9,4.63,GB,1670363020
118,lerwick,60.1545,-1.1494,2.0,69,100,11.94,GB,1670363020
119,tual,-5.6667,132.75,28.23,70,100,3.71,ID,1670363020
120,honiara,-9.4333,159.95,28.71,72,35,1.79,SB,1670363021
121,los llanos de aridane,28.6585,-17.9182,20.86,90,40,4.12,ES,1670363021
122,najran,17.4924,44.1277,17.36,29,0,1.14,SA,1670363021
123,katsuura,35.1333,140.3,10.16,67,7,0.84,JP,1670363022
124,saint george,37.1041,-113.5841,11.91,66,20,1.54,US,1670363022
125,jumla,29.2747,82.1838,3.63,26,0,2.47,NP,1670363023
126,codrington,-38.2667,141.9667,13.06,77,52,6.02,AU,1670363023
127,yerbogachen,61.2767,108.0108,-11.71,91,100,6.18,RU,1670363023
128,tobermory,45.2501,-81.6665,4.45,81,100,3.85,CA,1670363024
129,chokurdakh,70.6333,147.9167,-24.61,99,100,2.4,RU,1670363024
130,broken hill,-31.95,141.4333,24.02,37,100,1.36,AU,1670363013
131,platteville,42.7342,-90.4785,4.62,70,100,3.09,US,1670363025
132,canakkale,40.0833,26.8333,4.32,93,95,0.77,TR,1670363025
133,vicosa do ceara,-3.5622,-41.0922,25.14,44,94,2.95,BR,1670363026
134,santa ana,33.7456,-117.8678,17.53,66,75,4.12,US,1670362804
135,migori,-1.0634,34.4731,16.09,89,100,2.02,KE,1670363026
136,lososina,48.9975,140.3106,-10.82,69,100,2.17,RU,1670363027
137,batticaloa,7.7102,81.6924,24.44,87,100,5.98,LK,1670363027
138,bubaque,11.2833,-15.8333,27.5,68,1,6.11,GW,1670363028
139,saint-vallier,46.6411,4.3711,2.76,82,98,1.02,FR,1670363028
140,kargil,34.5667,76.1,-8.29,51,2,1.17,IN,1670363028
